epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,531.208,1.10638,2.34354,0.8754,0.35724,0.89701,0.43353,0.33798,0.92297,1.88824,0.80037,0.000472297,0.000472297,0.000472297
2,1028.73,0.71945,1.21259,0.81315,0.71735,0.79729,0.81902,0.72839,0.5074,0.95999,0.78031,0.000929847,0.000929847,0.000929847
3,1514.01,0.6732,0.8324,0.80737,0.85076,0.87233,0.9211,0.82283,0.47853,0.63556,0.78238,0.00136853,0.00136853,0.00136853
4,1997.06,0.62627,0.64783,0.80454,0.94079,0.93882,0.97079,0.79615,0.7302,0.55574,0.78863,0.00134412,0.00134412,0.00134412
5,2466.25,0.59907,0.55764,0.79838,0.97545,0.97439,0.99151,0.85083,0.62601,0.45179,0.78623,0.00131582,0.00131582,0.00131582
6,2927.61,0.56458,0.48696,0.79689,0.97988,0.9816,0.99089,0.90106,0.42748,0.34331,0.77697,0.00128753,0.00128753,0.00128753
7,3455.9,0.56046,0.46488,0.79465,0.9589,0.95872,0.98817,0.90101,0.43962,0.39307,0.7754,0.00125923,0.00125923,0.00125923
8,3961.53,0.5241,0.40613,0.79073,0.98593,0.98643,0.99345,0.93599,0.34629,0.29264,0.77644,0.00123094,0.00123094,0.00123094
9,4457.47,0.48012,0.38222,0.78905,0.98861,0.9897,0.99376,0.92682,0.38057,0.29397,0.77496,0.00120265,0.00120265,0.00120265
10,4944.74,0.46652,0.37238,0.78709,0.98613,0.98816,0.99347,0.92231,0.38339,0.2843,0.77602,0.00117435,0.00117435,0.00117435
11,74394.6,0.44181,0.35303,0.78457,0.96938,0.96805,0.99155,0.93572,0.34752,0.30053,0.77254,0.00114606,0.00114606,0.00114606
12,75017.7,0.41987,0.33609,0.78568,0.99007,0.98971,0.99372,0.94493,0.32366,0.26791,0.77242,0.00111776,0.00111776,0.00111776
13,75649.6,0.42058,0.33159,0.78367,0.71568,0.8506,0.79787,0.76034,0.31556,0.67381,0.77132,0.00108947,0.00108947,0.00108947
14,76276.3,0.4005,0.33339,0.78066,0.98987,0.99137,0.99426,0.96606,0.2876,0.23103,0.76937,0.00106118,0.00106118,0.00106118
15,76860.5,0.37465,0.31031,0.78152,0.98813,0.98727,0.99399,0.95826,0.31441,0.24079,0.77237,0.00103288,0.00103288,0.00103288
16,77375.6,0.39136,0.31241,0.78084,0.99205,0.99217,0.99417,0.96086,0.29114,0.24871,0.77193,0.00100459,0.00100459,0.00100459
17,77896,0.38051,0.29815,0.78085,0.9911,0.99064,0.99455,0.96419,0.27675,0.22058,0.76859,0.000976293,0.000976293,0.000976293
18,78375.3,0.36883,0.29387,0.77778,0.99388,0.99316,0.9944,0.96191,0.28135,0.2372,0.7695,0.000947999,0.000947999,0.000947999
19,78801.6,0.37642,0.29518,0.77922,0.99319,0.99271,0.99417,0.96237,0.29697,0.24137,0.76952,0.000919704,0.000919704,0.000919704
20,79228.6,0.34886,0.27788,0.77709,0.99367,0.99389,0.99473,0.97477,0.25454,0.213,0.76774,0.00089141,0.00089141,0.00089141
21,79657.4,0.34304,0.27689,0.77725,0.99288,0.99246,0.99436,0.96755,0.26029,0.23418,0.76771,0.000863116,0.000863116,0.000863116
22,80089.2,0.34771,0.26961,0.777,0.9918,0.99261,0.99463,0.9673,0.27539,0.21942,0.76891,0.000834822,0.000834822,0.000834822
23,80521,0.33593,0.26331,0.77513,0.99254,0.99338,0.99479,0.95917,0.29738,0.20865,0.76811,0.000806528,0.000806528,0.000806528
24,80955.5,0.33146,0.26031,0.77562,0.99329,0.9932,0.9946,0.9637,0.26975,0.2255,0.76786,0.000778233,0.000778233,0.000778233
25,81380.7,0.30542,0.2483,0.77402,0.99294,0.99298,0.9944,0.97794,0.24503,0.1981,0.768,0.000749939,0.000749939,0.000749939
26,81806.3,0.30604,0.25504,0.77617,0.99476,0.99573,0.99473,0.98239,0.22932,0.20142,0.76807,0.000721645,0.000721645,0.000721645
27,82278.4,0.35608,0.2613,0.77739,0.99329,0.99322,0.99442,0.94928,0.33012,0.23031,0.76921,0.000693351,0.000693351,0.000693351
28,82781.9,0.33012,0.25946,0.77439,0.9956,0.9963,0.99491,0.98535,0.21612,0.18116,0.76615,0.000665057,0.000665057,0.000665057
29,83342.3,0.30067,0.25308,0.77516,0.99539,0.99437,0.99482,0.98674,0.22299,0.19942,0.76699,0.000636762,0.000636762,0.000636762
30,83938.4,0.2999,0.24061,0.77487,0.99442,0.99627,0.99489,0.98196,0.23131,0.18393,0.76788,0.000608468,0.000608468,0.000608468
31,84545.4,0.29034,0.23671,0.77419,0.99425,0.99389,0.99488,0.98799,0.20583,0.17704,0.76633,0.000580174,0.000580174,0.000580174
32,85183.3,0.28699,0.23392,0.77448,0.99548,0.99581,0.99482,0.98239,0.2264,0.20001,0.7674,0.00055188,0.00055188,0.00055188
33,85797.1,0.28656,0.23007,0.77189,0.99726,0.99624,0.99493,0.98826,0.20866,0.17823,0.76608,0.000523586,0.000523586,0.000523586
34,86405.6,0.28173,0.23274,0.77457,0.99509,0.99604,0.99481,0.98681,0.21405,0.18843,0.7671,0.000495291,0.000495291,0.000495291
35,87022,0.28177,0.22747,0.77251,0.99566,0.99634,0.99489,0.98555,0.20438,0.18442,0.76573,0.000466997,0.000466997,0.000466997
36,87526.3,0.26508,0.2234,0.77385,0.99522,0.996,0.99483,0.98741,0.20948,0.17945,0.76623,0.000438703,0.000438703,0.000438703
37,87988.8,0.26898,0.21665,0.77091,0.99619,0.9966,0.9948,0.98719,0.21074,0.18714,0.76597,0.000410409,0.000410409,0.000410409
38,88447.5,0.26498,0.21041,0.77167,0.99676,0.99616,0.99493,0.98842,0.20598,0.16216,0.76629,0.000382115,0.000382115,0.000382115
39,88908.8,0.25856,0.20571,0.77282,0.99686,0.99785,0.99493,0.98853,0.20344,0.17086,0.76636,0.00035382,0.00035382,0.00035382
40,89339,0.25393,0.20323,0.77407,0.99521,0.9954,0.99489,0.99117,0.18268,0.15865,0.76567,0.000325526,0.000325526,0.000325526
41,89725.4,0.24946,0.19975,0.76815,0.99632,0.99511,0.99487,0.98697,0.21043,0.17825,0.76508,0.000297232,0.000297232,0.000297232
42,90129.8,0.23403,0.18991,0.76924,0.99642,0.99551,0.99493,0.98768,0.21121,0.16012,0.76434,0.000268938,0.000268938,0.000268938
43,90629,0.23151,0.18041,0.7713,0.99715,0.99756,0.99493,0.99007,0.18565,0.16431,0.76449,0.000240644,0.000240644,0.000240644
44,91159.4,0.22688,0.17758,0.76965,0.99762,0.99751,0.99495,0.9898,0.18655,0.15066,0.76447,0.000212349,0.000212349,0.000212349
45,91668.1,0.22907,0.18338,0.76692,0.99806,0.99782,0.99497,0.99036,0.18822,0.16758,0.76419,0.000184055,0.000184055,0.000184055
46,92210.4,0.21687,0.17112,0.76949,0.99836,0.99792,0.99497,0.99136,0.17577,0.14208,0.7643,0.000155761,0.000155761,0.000155761
47,92728.5,0.21066,0.16868,0.76919,0.99802,0.99835,0.99498,0.99135,0.17741,0.1435,0.76398,0.000127467,0.000127467,0.000127467
48,93200.4,0.20987,0.17266,0.76673,0.9984,0.99856,0.99498,0.99111,0.17875,0.13594,0.76415,9.91726e-05,9.91726e-05,9.91726e-05
49,93623.5,0.20319,0.16475,0.76637,0.99841,0.99856,0.99498,0.99302,0.1642,0.13477,0.76381,7.08784e-05,7.08784e-05,7.08784e-05
50,94050.9,0.20182,0.15913,0.76802,0.99754,0.99862,0.99497,0.99271,0.16324,0.14349,0.76359,4.25842e-05,4.25842e-05,4.25842e-05
